港澳频道,#genre#
龙祥时代,http://50.7.238.114:8278/lungxiangtime_twn/playlist.m3u8?tid=MADA6805114368051143&ct=18392&tsum=d6a1f02ca9abd5368d2a365e40247ae8
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
东森财经,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV03.m3u8
三立新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV01.m3u8
三立新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV32.m3u8
中视新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV09.m3u8
中视新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV42.m3u8
民视新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8
台视新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV25.m3u8
台视CTS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV12.m3u8
东森美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
东森电影,http://50.7.238.114:8278/ettvmovie/playlist.m3u8?tid=MDED1943740419437404&ct=19225&tsum=120834a4218c4b5c3bb19efb8116f859
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
东森美洲2,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
东森美洲2,http://38.64.72.148:80/hls/modn/list/2015/chunklist1.m3u8
东森新闻,http://211.23.114.106:8510/http/61.221.81.94:8088/hls/71/813/ch44.m3u8
年代新闻,http://211.23.114.106:8517/http/60.251.39.91:8081/hls/67/809/ch27.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
民视台湾,http://50.7.238.114:8278/ftvtaiwan_twn/playlist.m3u8?tid=MDFD8196635981966359&ct=19226&tsum=b82639ac8b4590b4206effe348e2f9c2
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
东森超视,http://50.7.238.114:8278/ettvsuper/playlist.m3u8?tid=MA4A3005409230054092&ct=19225&tsum=c5d89f66fa1a8bcd26f482d4a370def5
东森电影,http://50.7.238.114:8278/ettvmovie/playlist.m3u8?tid=MBDB9268852192688521&ct=19254&tsum=7514b50ebc2e4b06f2e402578d0ac996
三立都会,http://50.7.238.114:8278/sanlidouhui_twn/playlist.m3u8?tid=md028b33ea0f7&ct=19361&tsum=1930e4b2cfbbd2f9f821af1c41e8d18d
大爱1台,https://pulltv2.wanfudaluye.com/live/tv1.m3u8
大爱2台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
大立电视,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
人間衛視,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
年代音乐959,https://fanmingming.com/fm?id=2399
Music876年代音乐电台,https://fanmingming.com/fm?id=1277
随州新闻台,https://fanmingming.com/fm?id=1529
南宁990新闻台,https://fanmingming.com/fm?id=1085
年代音乐1022,https://fanmingming.com/fm?id=1600
年代音乐889,https://fanmingming.com/fm?id=2397
年代音乐1032,https://fanmingming.com/fm?id=2398
